                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1973,                 1.7186,                 1.4639,                0.56084,                0.45877,                0.33421,                0.20835,                 1.3837,                 16.336,                 1.8315,              0.0003636,              0.0003636,              0.0003636
                      2,                 1.1665,                 1.2775,                 1.4024,                0.33966,                0.38864,                0.14114,                  0.065,                 1.6262,                 21.528,                 2.4486,             0.00072909,             0.00072909,             0.00072909
                      3,                 1.2369,                  1.338,                  1.443,                0.34671,                0.21374,                0.22897,                0.12611,                 1.8869,                 3.6384,                 2.1529,              0.0010897,              0.0010897,              0.0010897
                      4,                 1.2086,                 1.2271,                 1.3955,                0.35043,                0.32528,                0.29226,                0.17723,                  1.636,                 2.7502,                 1.8919,               0.001089,               0.001089,               0.001089
                      5,                 1.1581,                 1.1366,                 1.3856,                0.47701,                0.43793,                0.44201,                0.25701,                 1.3723,                 1.8102,                 1.7219,              0.0010817,              0.0010817,              0.0010817
                      6,                 1.1781,                  1.128,                 1.3917,                0.82206,                0.43885,                0.62524,                0.37657,                 1.2097,                 1.7483,                 1.5352,              0.0010743,              0.0010743,              0.0010743
                      7,                 1.1212,                 1.1067,                 1.3579,                 0.6148,                0.54825,                 0.5447,                0.36887,                 1.1684,                 1.4444,                 1.4471,               0.001067,               0.001067,               0.001067
                      8,                 1.1299,                 1.0096,                 1.3693,                0.73839,                0.50598,                0.66534,                0.39599,                 1.1359,                 1.2055,                 1.4862,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.0926,                0.99662,                 1.3411,                0.67658,                 0.4777,                0.65295,                0.41852,                 1.1419,                 1.1369,                 1.4376,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.0927,                 1.0033,                 1.3339,                 0.6997,                0.47453,                  0.685,                0.42682,                 1.2161,                 1.1715,                 1.4384,               0.001045,               0.001045,               0.001045
                     11,                 1.0624,                0.95334,                  1.297,                0.88848,                0.46443,                0.57441,                0.38379,                 1.0743,                 1.2136,                 1.3554,              0.0010377,              0.0010377,              0.0010377
