                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2561,                 2.6841,                 1.3703,                0.78791,                0.27912,                0.39336,                0.24838,                   1.08,                  2.319,                 1.2167,              0.0003636,              0.0003636,              0.0003636
                      2,                 1.0804,                 1.4962,                 1.2225,                0.88542,                0.45626,                0.52751,                0.37064,                 1.0501,                 1.4714,                 1.1847,             0.00072667,             0.00072667,             0.00072667
                      3,                 1.0413,                  1.296,                  1.183,                0.64262,                0.49162,                0.50722,                0.34295,                 1.1586,                 1.6238,                 1.2695,              0.0010824,              0.0010824,              0.0010824
                      4,                 1.0315,                 1.1976,                 1.1705,                0.76637,                0.53547,                0.58578,                 0.4125,                 1.0248,                 1.3186,                  1.222,               0.001078,               0.001078,               0.001078
                      5,                 1.0192,                 1.1666,                 1.1723,                0.78369,                0.59209,                0.59409,                0.41299,                 1.0538,                  1.405,                 1.2342,               0.001067,               0.001067,               0.001067
                      6,                  1.018,                 1.1082,                 1.1652,                0.77678,                0.53656,                0.61827,                0.42806,                 1.0421,                 1.3071,                 1.2103,               0.001056,               0.001056,               0.001056
                      7,                 0.9653,                 1.0711,                 1.1438,                0.75039,                0.58644,                0.66652,                0.44171,                 1.0338,                 1.1119,                  1.255,               0.001045,               0.001045,               0.001045
                      8,                 1.0001,                 1.0382,                  1.163,                0.81781,                0.55283,                0.67303,                 0.4375,                 1.0134,                 1.2039,                 1.2093,               0.001034,               0.001034,               0.001034
                      9,                0.96457,                 1.0192,                 1.1373,                0.63222,                0.70362,                 0.7418,                0.49341,                0.95349,                0.93398,                 1.1619,               0.001023,               0.001023,               0.001023
                     10,                0.93677,                0.95499,                 1.1111,                0.84163,                  0.593,                0.74189,                0.46371,                0.97806,                 1.0317,                 1.1602,               0.001012,               0.001012,               0.001012
                     11,                0.94493,                0.93222,                 1.1272,                0.66659,                0.70841,                0.69392,                0.46374,                 1.0266,                 1.1063,                 1.1866,               0.001001,               0.001001,               0.001001
                     12,                0.93388,                0.87221,                 1.1107,                 0.8796,                0.61651,                 0.6844,                  0.484,                0.99043,                 0.9798,                 1.1962,             0.00099001,             0.00099001,             0.00099001
