                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2538,                 1.8981,                 1.3876,                0.84453,                0.53382,                0.58355,                0.41785,                0.97617,                 1.4282,                 1.2018,              0.0003636,              0.0003636,              0.0003636
                      2,                 1.0491,                  1.139,                  1.189,                0.78378,                0.52002,                0.59274,                0.36764,                 1.0624,                 1.1978,                 1.2397,             0.00072667,             0.00072667,             0.00072667
                      3,                 1.0391,                 1.0219,                 1.1863,                0.66893,                  0.553,                 0.5786,                0.38175,                 1.0606,                 1.3236,                 1.2235,              0.0010824,              0.0010824,              0.0010824
                      4,                 1.0171,                0.96377,                 1.1683,                0.75788,                0.56954,                0.68903,                0.44567,                 1.1095,                 1.2487,                 1.3199,               0.001078,               0.001078,               0.001078
                      5,                  1.011,                 0.8982,                 1.1685,                0.87728,                 0.5398,                0.67823,                0.44229,                 1.0705,                0.98796,                  1.271,               0.001067,               0.001067,               0.001067
                      6,                 1.0122,                0.89835,                 1.1799,                0.78951,                0.67096,                0.70435,                0.47295,                 1.0239,                 1.0318,                 1.2031,               0.001056,               0.001056,               0.001056
                      7,                0.99124,                0.86444,                 1.1709,                0.72859,                0.51427,                0.68327,                0.44052,                 1.0544,                 1.0381,                  1.215,               0.001045,               0.001045,               0.001045
                      8,                 1.0236,                0.83558,                 1.1817,                0.71138,                0.78101,                0.79189,                0.49837,                 1.0842,                0.94106,                 1.2186,               0.001034,               0.001034,               0.001034
                      9,                0.95062,                0.79817,                 1.1355,                0.61232,                0.66057,                0.70232,                0.47245,                  0.979,                0.85195,                 1.1747,               0.001023,               0.001023,               0.001023
                     10,                0.95533,                0.78838,                 1.1343,                0.57026,                0.76447,                0.70166,                0.47462,                  1.096,                0.99811,                 1.2199,               0.001012,               0.001012,               0.001012
                     11,                0.93812,                0.76912,                 1.1339,                0.85556,                0.65708,                0.82068,                0.58819,                0.92938,                0.85968,                 1.1546,               0.001001,               0.001001,               0.001001
                     12,                0.93798,                 0.7326,                 1.1147,                0.71104,                0.89965,                 0.8637,                0.56033,                 1.0338,                  0.914,                 1.2158,             0.00099001,             0.00099001,             0.00099001
                     13,                0.93702,                0.73438,                 1.1325,                0.83103,                0.66439,                0.82026,                0.55657,                0.99077,                0.85849,                  1.212,             0.00097901,             0.00097901,             0.00097901
                     14,                0.91696,                 0.7228,                 1.1272,                0.73223,                 0.7728,                0.78542,                0.54293,                0.87836,                0.78782,                 1.1208,             0.00096801,             0.00096801,             0.00096801
                     15,                0.89053,                0.69105,                 1.1202,                0.84674,                0.71371,                0.81132,                0.56324,                 0.8934,                0.75845,                 1.1272,             0.00095702,             0.00095702,             0.00095702
                     16,                0.86758,                0.67127,                 1.0883,                0.72059,                0.66569,                0.77179,                0.53074,                0.96502,                0.81699,                 1.1765,             0.00094602,             0.00094602,             0.00094602
                     17,                0.86232,                0.64879,                 1.0955,                0.69561,                0.74041,                0.76627,                0.54248,                0.93821,                0.85598,                 1.2035,             0.00093502,             0.00093502,             0.00093502
                     18,                0.89105,                0.68405,                 1.1225,                0.75712,                0.75262,                0.78006,                0.54445,                0.93858,                0.88587,                  1.188,             0.00092402,             0.00092402,             0.00092402
                     19,                0.89127,                0.66497,                  1.102,                0.76584,                 0.6762,                0.75144,                0.53488,                0.91803,                0.85518,                 1.1607,             0.00091302,             0.00091302,             0.00091302
                     20,                0.86959,                0.65528,                 1.0961,                0.66596,                0.79395,                0.77992,                0.53948,                0.93835,                0.72335,                 1.1559,             0.00090202,             0.00090202,             0.00090202
                     21,                0.85266,                0.63627,                 1.0881,                0.69429,                0.82266,                0.77155,                0.53975,                0.97748,                0.74424,                 1.1867,             0.00089102,             0.00089102,             0.00089102
                     22,                0.84089,                 0.6359,                 1.0792,                0.68172,                0.77801,                0.82171,                 0.5569,                0.92145,                 0.7341,                 1.1456,             0.00088002,             0.00088002,             0.00088002
